UniProtAccession	GeneSymbol
A0A0A0MRZ7	IGKV2D-26
A0A0C4DH55	IGKV3D-7
A6NHR9	SMCHD1
E9PRG8	C11orf98
H7BZ55	CROCC2
O00425	IGF2BP3
O00567	NOP56
O00571	DDX3X
O14908	GIPC1
O14979	HNRNPDL
O15027	SEC16A
O15042	U2SURP
O15235	MRPS12
O15523	DDX3Y
O43143	DHX15
O43390	HNRNPR
O43795	MYO1B
O60506	SYNCRIP
O60716	CTNND1
O60783	MRPS14
O60832	DKC1
O60869	EDF1
O75494	SRSF10
O75525	KHDRBS3
O75533	SF3B1
O75643	SNRNP200
O75955	FLOT1
O76024	WFS1
O94832	MYO1D
P01834	IGKC
P01859	IGHG2
P02452	COL1A1
P02461	COL3A1
P04075	ALDOA
P04259	KRT6B
P04406	GAPDH
P04792	HSPB1
P05141	SLC25A5
P05386	RPLP1
P05387	RPLP2
P05388	RPLP0
P05783	KRT18
P06310	IGKV2-30
P06733	ENO1
P06748	NPM1
P06753	TPM3
P07305	H1F0
P07437	TUBB
P07910	HNRNPC
P08123	COL1A2
P08238	HSP90AB1
P08590	MYL3
P08621	SNRNP70
P08670	VIM
P08708	RPS17
P09211	GSTP1
P09234	SNRPC
P09493	TPM1
P09651	HNRNPA1
P0CG05	IGLC3; IGLC2
P0DI83	RAB34
P10412	HIST1H1E
P10809	HSPD1
P11021	HSPA5
P11055	MYH3
P11142	HSPA8
P12829	MYL4
P12882	MYH1
P12883	MYH7
P13533	MYH6
P13591	NCAM1
P14618	PKM
P14866	HNRNPL
P15880	RPS2
P16401	HIST1H1B
P16402	HIST1H1D
P16403	HIST1H1C
P17483	HOXB4
P17844	DDX5
P18077	RPL35A
P18124	RPL7
P18621	RPL17
P19105	MYL12A
P19237	TNNI1
P19338	NCL
P19474	TRIM21
P20700	LMNB1
P21333	FLNA
P22087	FBL
P22626	HNRNPA2B1
P23246	SFPQ
P23396	RPS3
P24844	MYL9
P24928	POLR2A
P25705	ATP5F1A
P26368	U2AF2
P26373	RPL13
P26641	EEF1G
P27448	MARK3
P27635	RPL10
P27816	MAP4
P30050	RPL12
P30876	POLR2B
P31942	HNRNPH3
P31943	HNRNPH1
P32969	RPL9P7; RPL9P8; RPL9; RPL9P9
P35030	PRSS3
P35268	RPL22
P35527	KRT9
P35579	MYH9
P35580	MYH10
P35637	FUS
P36542	ATP5F1C
P36578	RPL4
P37108	SRP14
P38159	RBMX
P38919	EIF4A3
P39019	RPS19
P39023	RPL3
P40429	RPL13A
P40818	USP8
P42677	RPS27
P42766	RPL35
P43243	MATR3
P43694	GATA4
P45379	TNNT2
P45880	VDAC2
P46087	NOP2
P46776	RPL27A
P46777	RPL5
P46778	RPL21
P46779	RPL28
P46781	RPS9
P46782	RPS5
P46783	RPS10
P47755	CAPZA2
P47756	CAPZB
P48047	ATP5PO
P48730	CSNK1D
P48741	HSPA7
P49207	RPL34
P49458	SRP9
P49750	YLPM1
P50454	SERPINH1
P50914	RPL14
P51398	DAP3
P51610	HCFC1
P51991	HNRNPA3
P52272	HNRNPM
P52434	POLR2H
P52597	HNRNPF
P52907	CAPZA1
P52952	NKX2-5
P55265	ADAR
P55735	SEC13
P55769	SNU13
P55795	HNRNPH2
P60660	MYL6
P60709	ACTB
P60866	RPS20
P61247	RPS3A
P61313	RPL15
P61326	MAGOH
P61353	RPL27
P61513	RPL37A
P61978	HNRNPK
P62081	RPS7
P62158	CALM1; CALM3; CALM2
P62241	RPS8
P62244	RPS15A
P62249	RPS16
P62263	RPS14
P62266	RPS23
P62269	RPS18
P62277	RPS13
P62280	RPS11
P62304	SNRPE
P62306	SNRPF
P62308	SNRPG
P62316	SNRPD2
P62318	SNRPD3
P62424	RPL7A
P62701	RPS4X
P62736	ACTA2
P62750	RPL23A
P62753	RPS6
P62805	HIST1H4H; HIST1H4B; HIST1H4E; HIST4H4; HIST1H4I; HIST1H4F; HIST1H4A; HIST1H4D; HIST1H4K; HIST2H4A; HIST1H4C; HIST2H4B; HIST1H4L; HIST1H4J
P62829	RPL23
P62841	RPS15
P62847	RPS24
P62851	RPS25
P62854	RPS26
P62857	RPS28
P62861	FAU
P62888	RPL30
P62899	RPL31
P62906	RPL10A
P62910	RPL32
P62913	RPL11
P62917	RPL8
P62937	PPIA
P62995	TRA2B
P63162	SNRPN
P63173	RPL38
P63244	RACK1
P63261	ACTG1
P63316	TNNC1
P67809	YBX1
P68032	ACTC1
P68363	TUBA1B
P68371	TUBB4B
P80748	IGLV3-21
P82650	MRPS22
P82663	MRPS25
P82673	MRPS35
P82921	MRPS21
P82930	MRPS34
P82933	MRPS9
P82979	SARNP
P83731	RPL24
P84090	ERH
P84098	RPL19
P84103	SRSF3
P98179	RBM3
Q00325	SLC25A3
Q00839	HNRNPU
Q01449	MYL7
Q01844	EWSR1
Q02224	CENPE
Q02539	HIST1H1A
Q02543	RPL18A
Q02878	RPL6
Q02978	SLC25A11
Q03164	KMT2A
Q03252	LMNB2
Q05682	CALD1
Q06413	MEF2C
Q07020	RPL18
Q07666	KHDRBS1
Q07955	SRSF1
Q08211	DHX9
Q09028	RBBP4
Q12905	ILF2
Q12906	ILF3
Q13029	PRDM2
Q13148	TARDBP
Q13151	HNRNPA0
Q13242	SRSF9
Q13435	SF3B2
Q13595	TRA2A
Q14011	CIRBP
Q14103	HNRNPD
Q14151	SAFB2
Q14498	RBM39
Q14684	RRP1B
Q14839	CHD4
Q14980	NUMA1
Q15029	EFTUD2
Q15233	NONO
Q15287	RNPS1
Q15365	PCBP1
Q15393	SF3B3
Q15424	SAFB
Q15717	ELAVL1
Q15785	TOMM34
Q16526	CRY1
Q16527	CSRP2
Q16629	SRSF7
Q16643	DBN1
Q16777	HIST2H2AC
Q16778	HIST2H2BE
Q1KMD3	HNRNPUL2
Q3ZCM7	TUBB8
Q52LJ0	FAM98B
