UniProt	GeneSymbol
P41182	BCL6
Q13547	HDAC1
O95983	MBD3
O94776	MTA2
P17427	Ap2a2
P63010	AP2B1
P84092	Ap2m1
Q9UBC3	DNMT3B
O95239	KIF4A
Q96ST3	SIN3A
O60264	SMARCA5
O95347	SMC2
Q92769	HDAC2
Q09028	RBBP4
Q16576	RBBP7
O00422	SAP18
O75446	SAP30
O00203	AP3B1
Q13367	AP3B2
O14617	AP3D1
Q9Y2T2	AP3M1
P53677	AP3M2
Q92572	AP3S1
Q14839	CHD4
Q9UBB5	MBD2
Q9Y6B7	AP4B1
Q9UPM8	AP4E1
O00189	AP4M1
Q13619	CUL4A
Q16531	DDB1
P08107	HSPA1A; HSPA1B
P29475	NOS1
P13674	P4HA1
O96019	ACTL6A
Q92993	KAT5
Q9Y265	RUVBL1
Q9Y230	RUVBL2
Q9H0E9	BRD8
Q9HAF1	MEAF6
Q9NPF5	DMAP1
Q96L91	EP400
Q9H2F5	EPC1
Q9NXR8	ING3
Q9UBU8	MORF4L1
Q15014	MORF4L2
Q9NV56	MRGBP
Q9Y4A5	TRRAP
Q15906	VPS72
Q68CP9	ARID2
Q86U86	PBRM1
P51532	SMARCA4
Q12824	SMARCB1
Q92922	SMARCC1
Q8TAQ2	SMARCC2
Q96GM5	SMARCD1
Q92925	SMARCD2
O14497	ARID1A
P25705	ATP5F1A
P06576	ATP5F1B
P36542	ATP5F1C
P30049	ATP5F1D
P56381	ATP5F1E
P24539	ATP5PB
P05496	ATP5MC1
O75947	ATP5PD
P56385	ATP5ME
P18859	ATP5PF
P56134	ATP5MF
O75964	ATP5MG
P48047	ATP5PO
Q6IAQ7	ATP5IF1
P00846	MT-ATP6
Q969G3	SMARCE1
P51531	SMARCA2
P60709	ACTB
Q92793	CREBBP
Q09472	EP300
Q14192	FHL2
Q9H2X6	HIPK2
Q6IT96	HDAC1
Q13330	MTA1
Q9BTC8	MTA3
Q4LE39	ARID4B
Q9H0E3	SAP130
O60341	KDM1A
Q12873	CHD3
Q9P0W2	HMG20B
Q96BD5	PHF21A
Q9UKL0	RCOR1
P62072	TIMM10
Q13363	CTBP1
Q9NP66	HMG20A
Q96EK2	PHF21B
Q9P2K3	RCOR3
Q92766	RREB1
Q9UBW7	ZMYM2
Q14687	GSE1
P78347	GTF2I
Q14202	ZMYM3
O00257	CBX4
Q9Y232	CDYL
P56545	CTBP2
Q9H9B1	EHMT1
Q96KQ7	EHMT2
Q96JN0	LCOR
P37275	ZEB1
O60315	ZEB2
O75362	ZNF217
Q86YP4	GATAD2A
P59780	AP3S2
P78537	BLOC1S1
Q6QNY1	BLOC1S2
Q6QNY0	BLOC1S3
Q9NUP1	BLOC1S4
Q96EV8	DTNBP1
Q8TDH9	BLOC1S5
Q9UL45	BLOC1S6
Q8WXI9	GATAD2B
Q1EHW4	Sap25
Q9HCU9	BRMS1
O14744	PRMT5
Q6STE5	SMARCD3
O43707	ACTN4
P08238	HSP90AB1
P11142	HSPA8
P05107	ITGB2
Q16787	LAMA3
Q13368	MPP3
Q64663	P2rx7
P42356	PI4KA
P23467	PTPRB
P61201	COPS2
Q9UNS2	COPS3
Q9BT78	COPS4
Q92905	COPS5
Q7L5N1	COPS6
Q99627	COPS8
Q92466	DDB2
Q13098	GPS1
P62877	RBX1
Q9UBW8	COPS7A
Q13216	ERCC8
P24928	POLR2A
Q9UK53	ING1
Q14152	EIF3A
P55884	EIF3B
Q99613	EIF3C
O15371	EIF3D
P60228	EIF3E
Q9Y262	EIF3L
O00303	EIF3F
O75821	EIF3G
O15372	EIF3H
Q13347	EIF3I
O75822	EIF3J
Q9Y618	NCOR2
P51608	MECP2
P51587	BRCA2
Q09161	NCBP1
P52298	NCBP2
P62826	RAN
Q9H814	PHAX
O75530	EED
Q15910	EZH2
Q6W2J9	BCOR
Q8NHM5	KDM2B
Q9BSM1	PCGF1
Q06587	RING1
Q99496	RNF2
Q8N488	RYBP
O75934	BCAS2
Q99459	CDC5L
Q92616	GCN1
O43660	PLRG1
Q7L1Q6	BZW1
Q9P013	CWC15
Q14204	DYNC1H1
Q12905	ILF2
O15297	PPM1D
P62136	PPP1CA
P78527	PRKDC
Q9UMS4	PRPF19
Q9UPN6	SCAF8
P38159	RBMX
O75533	SF3B1
Q13435	SF3B2
Q15427	SF3B4
A8K8P3	SFI1
P23246	SFPQ
Q07955	SRSF1
Q01130	SRSF2
P09012	SNRPA
P09661	SNRPA1
P62314	SNRPD1
P62316	SNRPD2
P62318	SNRPD3
